"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 09:42:42 GMT 2022","Tue Jun 28 09:42:45 GMT 2022","3363","test_conduit","test_conduit","TestConduit","","","test_listing_data",""
"passed","Tue Jun 28 09:43:01 GMT 2022","Tue Jun 28 09:43:24 GMT 2022","22991","test_conduit","test_conduit","TestConduit","","","test_add_comments",""
"broken","Tue Jun 28 09:42:32 GMT 2022","Tue Jun 28 09:42:35 GMT 2022","3355","test_conduit","test_conduit","TestConduit","","","test_logging_in",""
"passed","Tue Jun 28 09:43:34 GMT 2022","Tue Jun 28 09:43:45 GMT 2022","10566","test_conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Tue Jun 28 09:43:49 GMT 2022","Tue Jun 28 09:43:51 GMT 2022","1366","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Jun 28 09:43:46 GMT 2022","Tue Jun 28 09:43:47 GMT 2022","261","test_conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Tue Jun 28 09:43:26 GMT 2022","Tue Jun 28 09:43:33 GMT 2022","6720","test_conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"passed","Tue Jun 28 09:42:47 GMT 2022","Tue Jun 28 09:42:50 GMT 2022","3469","test_conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Tue Jun 28 09:42:37 GMT 2022","Tue Jun 28 09:42:39 GMT 2022","2058","test_conduit","test_conduit","TestConduit","","","test_cookies",""
"passed","Tue Jun 28 09:42:28 GMT 2022","Tue Jun 28 09:42:30 GMT 2022","2375","test_conduit","test_conduit","TestConduit","","","test_reg",""
"passed","Tue Jun 28 09:42:52 GMT 2022","Tue Jun 28 09:43:00 GMT 2022","7701","test_conduit","test_conduit","TestConduit","","","test_new_article",""
